
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-01 12:21:35 /api/employees/emp-003/workspace ..................................................... ~ 0.09ms
  2026-07-01 12:21:40 /api/leave-requests .................................................................. ~ 0.32ms
  2026-07-01 12:21:40 /api/attendance-time-edit-requests ................................................... ~ 0.08ms
  2026-07-01 12:21:40 /api/notifications ................................................................... ~ 1.13ms
  2026-07-01 12:21:40 /api/chat/unread-summary ............................................................. ~ 1.99ms
  2026-07-01 12:21:40 /api/leave-requests .................................................................. ~ 2.38ms
  2026-07-01 12:21:40 /api/attendance-time-edit-requests ................................................... ~ 1.89ms
  2026-07-01 12:21:41 /api/notifications ................................................................... ~ 1.30ms
  2026-07-01 12:21:41 /api/chat/unread-summary ............................................................. ~ 2.32ms
  2026-07-01 12:21:48 /api/leave-requests .................................................................. ~ 0.24ms
  2026-07-01 12:21:48 /api/attendance-time-edit-requests ................................................... ~ 0.09ms
  2026-07-01 12:21:48 /api/notifications ................................................................... ~ 1.26ms
  2026-07-01 12:21:48 /api/chat/unread-summary ............................................................. ~ 2.11ms
  2026-07-01 12:21:48 /api/leave-requests ................................................................ ~ 509.59ms
  2026-07-01 12:21:48 /api/attendance-time-edit-requests ................................................. ~ 509.56ms
  2026-07-01 12:21:49 /api/notifications ................................................................... ~ 1.24ms
  2026-07-01 12:21:49 /api/chat/unread-summary ............................................................. ~ 2.14ms
  2026-07-01 12:21:56 /api/leave-requests .................................................................. ~ 0.97ms
  2026-07-01 12:21:56 /api/attendance-time-edit-requests ................................................... ~ 0.11ms
  2026-07-01 12:21:56 /api/notifications ................................................................... ~ 1.29ms
  2026-07-01 12:21:56 /api/chat/unread-summary ............................................................. ~ 1.64ms
  2026-07-01 12:21:56 /api/leave-requests .................................................................. ~ 1.44ms
  2026-07-01 12:21:56 /api/attendance-time-edit-requests ................................................... ~ 1.96ms
  2026-07-01 12:21:57 /api/notifications ................................................................... ~ 1.24ms
  2026-07-01 12:21:57 /api/chat/unread-summary ............................................................. ~ 1.60ms
  2026-07-01 12:22:04 /api/leave-requests .................................................................. ~ 0.97ms
  2026-07-01 12:22:04 /api/attendance-time-edit-requests ................................................... ~ 2.60ms
  2026-07-01 12:22:04 /api/notifications ................................................................... ~ 1.80ms
  2026-07-01 12:22:04 /api/chat/unread-summary ............................................................. ~ 1.64ms
  2026-07-01 12:22:04 /api/leave-requests .................................................................. ~ 1.44ms
  2026-07-01 12:22:05 /api/attendance-time-edit-requests ................................................... ~ 1.91ms
  2026-07-01 12:22:05 /api/notifications ................................................................... ~ 1.68ms
  2026-07-01 12:22:05 /api/chat/unread-summary ............................................................. ~ 1.58ms
  2026-07-01 12:22:12 /api/leave-requests .................................................................. ~ 1.15ms
  2026-07-01 12:22:12 /api/attendance-time-edit-requests ................................................... ~ 0.09ms
  2026-07-01 12:22:12 /api/notifications ................................................................... ~ 1.22ms
  2026-07-01 12:22:12 /api/chat/unread-summary ............................................................. ~ 2.10ms
  2026-07-01 12:22:12 /api/leave-requests ................................................................ ~ 510.16ms
  2026-07-01 12:22:12 /api/attendance-time-edit-requests ................................................. ~ 509.87ms
  2026-07-01 12:22:13 /api/notifications ................................................................... ~ 1.10ms
  2026-07-01 12:22:13 /api/chat/unread-summary ............................................................. ~ 1.52ms
  2026-07-01 12:22:20 /api/leave-requests .................................................................. ~ 1.03ms
  2026-07-01 12:22:20 /api/attendance-time-edit-requests ................................................... ~ 0.10ms
  2026-07-01 12:22:20 /api/notifications ................................................................... ~ 1.69ms
